股票名称,股票代码,股票代码（纯数字）
浦发银行,sh600000,600000
邯郸钢铁,sh600001,600001
齐鲁退市,sh600002,600002
ST东北高,sh600003,600003
白云机场,sh600004,600004
武钢股份,sh600005,600005
东风汽车,sh600006,600006
中国国贸,sh600007,600007
首创股份,sh600008,600008
上海机场,sh600009,600009
包钢股份,sh600010,600010
华能国际,sh600011,600011
皖通高速,sh600012,600012
华夏银行,sh600015,600015
民生银行,sh600016,600016
日照港,sh600017,600017
上港集团,sh600018,600018
宝钢股份,sh600019,600019
中原高速,sh600020,600020
上海电力,sh600021,600021
山东钢铁,sh600022,600022
浙能电力,sh600023,600023
中海发展,sh600026,600026
华电国际,sh600027,600027
中国石化,sh600028,600028
南方航空,sh600029,600029
中信证券,sh600030,600030
三一重工,sh600031,600031
福建高速,sh600033,600033
楚天高速,sh600035,600035
招商银行,sh600036,600036
歌华有线,sh600037,600037
中直股份,sh600038,600038
四川路桥,sh600039,600039
保利地产,sh600048,600048
中国联通,sh600050,600050
宁波联合,sh600051,600051
浙江广厦,sh600052,600052
中江地产,sh600053,600053
黄山旅游,sh600054,600054
华润万东,sh600055,600055
中国医药,sh600056,600056
象屿股份,sh600057,600057
五矿发展,sh600058,600058
古越龙山,sh600059,600059
海信电器,sh600060,600060
中纺投资,sh600061,600061
华润双鹤,sh600062,600062
皖维高新,sh600063,600063
南京高科,sh600064,600064
*ST联谊,sh600065,600065
宇通客车,sh600066,600066
冠城大通,sh600067,600067
葛洲坝,sh600068,600068
*ST银鸽,sh600069,600069
浙江富润,sh600070,600070
凤凰光学,sh600071,600071
*ST钢构,sh600072,600072
上海梅林,sh600073,600073
中达股份,sh600074,600074
*ST新业,sh600075,600075
青鸟华光,sh600076,600076
宋都股份,sh600077,600077
澄星股份,sh600078,600078
人福医药,sh600079,600079
金花股份,sh600080,600080
东风科技,sh600081,600081
海泰发展,sh600082,600082
博信股份,sh600083,600083
中葡股份,sh600084,600084
同仁堂,sh600085,600085
东方金钰,sh600086,600086
退市长油,sh600087,600087
中视传媒,sh600088,600088
特变电工,sh600089,600089
啤酒花,sh600090,600090
ST明科,sh600091,600091
S*ST精密,sh600092,600092
禾嘉股份,sh600093,600093
大名城,sh600094,600094
哈高科,sh600095,600095
云天化,sh600096,600096
开创国际,sh600097,600097
广州发展,sh600098,600098
林海股份,sh600099,600099
同方股份,sh600100,600100
明星电力,sh600101,600101
莱钢股份,sh600102,600102
青山纸业,sh600103,600103
上汽集团,sh600104,600104
永鼎股份,sh600105,600105
重庆路桥,sh600106,600106
美尔雅,sh600107,600107
亚盛集团,sh600108,600108
国金证券,sh600109,600109
中科英华,sh600110,600110
北方稀土,sh600111,600111
天成控股,sh600112,600112
浙江东日,sh600113,600113
东睦股份,sh600114,600114
东方航空,sh600115,600115
三峡水利,sh600116,600116
西宁特钢,sh600117,600117
中国卫星,sh600118,600118
长江投资,sh600119,600119
浙江东方,sh600120,600120
